영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
고백,0,0,0,0.02,0.01,0.02,0,0.02,0.03,0.01,0.02,0.02,0.03,0.1,0.11,0.06,0.01,0,0.04,0.01,0.02,0.02,0,0.02,0.02,0.13,0.05,0.01,0.01,0.06,0.02,0.02,0.04,0,0.05,0.03
고사두번째이야기교생실습,0.02,0,0,0.06,0.01,0,0,0.03,0.02,0,0.01,0,0.01,0.03,0.04,0.01,0.01,0.01,0.06,0,0.03,0.01,0.04,0.1,0.02,0.03,0.04,0,0.05,0.06,0.13,0.01,0.1,0.01,0,0.02
고사피의중간고사,0,0,0,0.08,0.02,0,0,0.03,0.01,0,0,0,0.02,0.11,0.04,0.01,0,0.02,0.03,0,0.03,0.01,0.01,0.05,0.01,0.01,0.03,0,0.02,0.05,0.17,0.03,0.14,0.03,0.01,0.03
고양이죽음을보는두개의눈,0.01,0,0,0.03,0,0,0,0.02,0.02,0,0.02,0,0.01,0.08,0.02,0,0,0.05,0.05,0.01,0.04,0.02,0.01,0.06,0.01,0.01,0.03,0,0.03,0.03,0.17,0.02,0.19,0.06,0,0
고지전,0.01,0,0,0.08,0.01,0,0.01,0.04,0.01,0.01,0.12,0.01,0.02,0.03,0.12,0.05,0,0.02,0.05,0.06,0.01,0.1,0.02,0.06,0.01,0.04,0.03,0,0.01,0.04,0,0.01,0.01,0,0.01,0
골,0.01,0,0.01,0.1,0.01,0.01,0.01,0.07,0.03,0.01,0.19,0.02,0.04,0.01,0.14,0.05,0,0.11,0.02,0,0,0.03,0.01,0.05,0,0.01,0.03,0,0.01,0.01,0,0.01,0,0,0.02,0.01
공공의적2,0.01,0,0.01,0.12,0.02,0.08,0,0.09,0.01,0.02,0.02,0,0.02,0.02,0.08,0.07,0,0.04,0.1,0,0,0.01,0.01,0.07,0.05,0.02,0.06,0.01,0.01,0.01,0,0.01,0,0,0,0.01
과속스캔들,0.11,0,0.02,0.2,0.11,0,0.01,0.04,0.05,0,0.07,0,0.02,0.01,0.16,0.01,0.01,0.02,0.03,0.01,0,0.01,0,0.05,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
광식이동생광태,0.05,0,0.05,0.14,0.09,0,0.01,0.07,0.13,0.01,0.04,0,0.01,0.01,0.04,0.02,0,0.03,0.08,0.01,0,0.02,0.01,0.09,0.03,0.01,0.02,0,0.01,0,0,0,0,0,0,0
"광해,왕이된남자",0.02,0,0.03,0.11,0.09,0.01,0.01,0.04,0.02,0.02,0.13,0.02,0.02,0.02,0.17,0.05,0.01,0.02,0.04,0,0,0.04,0,0.06,0.01,0.01,0.02,0,0.01,0.01,0,0.01,0,0,0.02,0
괴물,0.01,0,0.01,0.14,0.03,0,0.01,0.09,0.01,0.01,0.05,0.01,0.02,0.04,0.13,0.03,0,0.01,0.03,0,0.01,0.03,0.02,0.07,0.03,0.01,0.02,0,0.01,0.02,0.01,0.03,0.03,0,0.01,0.06
